"","id","name","gender","birthdate","birthplace","deathdate","deathplace","category","year","share","overallmotivation","motivation","affiliations"
"28",34,"C.T.R. Wilson","male","1869-02-14","Glencorse Scotland","1959-11-15","Carlops Scotland","Physics",1927,"1/2","","for his method of making the paths of electrically charged particles visible by condensation of vapour","University of Cambridge; Cambridge United Kingdom"
"29",43,"Carl D. Anderson","male","1905-09-03","New York NY USA","1991-01-11","San Marino CA USA","Physics",1936,"1/2","","for his discovery of the positron","California Institute of Technology (Caltech); Pasadena CA USA"
"30",740,"Carl Wieman","male","1951-03-26","Corvallis OR USA","","","Physics",2001,"1/3","","for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates","University of Colorado JILA; Boulder CO USA"
"31",124,"Carlo Rubbia","male","1934-03-31","Gorizia Italy","","","Physics",1984,"1/2","","for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction","CERN; Geneva Switzerland"
"32",55,"Cecil Powell","male","1903-12-05","Tonbridge United Kingdom","1969-08-09","Italy","Physics",1950,"1","","for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method","Bristol University; Bristol United Kingdom"
"33",25,"Charles Edouard Guillaume","male","1861-02-15","Fleurier Switzerland","1938-06-13","Sèvres France","Physics",1920,"1","","in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys","Bureau International des Poids et Mesures (International Bureau of Weights and Measures); Sèvres France"
"34",22,"Charles Glover Barkla","male","1877-06-07","Widnes United Kingdom","1944-10-23","Edinburgh Scotland","Physics",1917,"1","","for his discovery of the characteristic R&ouml;ntgen radiation of the elements","Edinburgh University; Edinburgh United Kingdom"
"35",81,"Charles H. Townes","male","1915-07-28","Greenville SC USA","2015-01-27","Berkeley CA USA","Physics",1964,"1/2","","for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle","Massachusetts Institute of Technology (MIT); Cambridge MA USA"
"36",838,"Charles K. Kao","male","1933-11-04","Shanghai China","2018-09-23","Hong Kong N/A","Physics",2009,"1/2","","for groundbreaking achievements concerning the transmission of light in fibers for optical communication","Standard Telecommunication Laboratories; Harlow United Kingdom; Chinese University of Hong Kong; Hong Kong China"
"37",68,"Chen Ning Yang","male","1922-09-22","Hofei Anhwei China","","","Physics",1957,"1/2","","for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles","Institute for Advanced Study; Princeton NJ USA"
"38",153,"Claude Cohen-Tannoudji","male","1933-04-01","Constantine French Algeria (now Algeria)","","","Physics",1997,"1/3","","for development of methods to cool and trap atoms with laser light","Collège de France; Paris France; École Normale Supérieure; Paris France"
"39",146,"Clifford G. Shull","male","1915-09-23","Pittsburgh PA USA","2001-03-31","Medford MA USA","Physics",1994,"1/2","for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter","for the development of the neutron diffraction technique","Massachusetts Institute of Technology (MIT); Cambridge MA USA"
"40",44,"Clinton Davisson","male","1881-10-22","Bloomington IL USA","1958-02-01","Charlottesville VA USA","Physics",1937,"1/2","","for their experimental discovery of the diffraction of electrons by crystals","Bell Telephone Laboratories; New York NY USA"
"41",157,"Daniel C. Tsui","male","1939-02-28","Henan China","","","Physics",1998,"1/3","","for their discovery of a new form of quantum fluid with fractionally charged excitations","Princeton University; Princeton NJ USA"
"42",776,"David J. Gross","male","1941-02-19","Washington D.C. USA","","","Physics",2004,"1/3","","for the discovery of asymptotic freedom in the theory of the strong interaction","University of California Kavli Institute for Theoretical Physics; Santa Barbara CA USA"
"43",928,"David J. Thouless","male","1934-09-21","Bearsden United Kingdom","2019-04-06","Cambridge United Kingdom","Physics",2016,"1/2","","for theoretical discoveries of topological phase transitions and topological phases of matter","University of Washington; Seattle WA USA"
"44",877,"David J. Wineland","male","1944-02-24","Milwaukee WI USA","","","Physics",2012,"1/2","","for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems","National Institute of Standards and Technology; Boulder CO USA; University of Colorado; Boulder CO USA"
"45",149,"David M. Lee","male","1931-01-20","Rye NY USA","","","Physics",1996,"1/3","","for their discovery of superfluidity in helium-3","Cornell University; Ithaca NY USA"
"46",93,"Dennis Gabor","male","1900-06-05","Budapest Hungary","1979-02-08","London United Kingdom","Physics",1971,"1","","for his invention and development of the holographic method","Imperial College; London United Kingdom"
"47",975,"Didier Queloz","male","1966-02-23","Geneva Switzerland","","","Physics",2019,"1/4","for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos","for the discovery of an exoplanet orbiting a solar-type star","University of Geneva; Geneva Switzerland; University of Cambridge; Cambridge United Kingdom"
"48",74,"Donald A. Glaser","male","1926-09-21","Cleveland OH USA","2013-02-28","Berkeley CA USA","Physics",1960,"1","","for the invention of the bubble chamber","University of California; Berkeley CA USA"
"49",962,"Donna Strickland","female","1959-05-27","Guelph Canada","","","Physics",2018,"1/4","for groundbreaking inventions in the field of laser physics","for their method of generating high-intensity ultra-short optical pulses","University of Waterloo; Waterloo Canada"
"50",150,"Douglas D. Osheroff","male","1945-08-01","Aberdeen WA USA","","","Physics",1996,"1/3","","for their discovery of superfluidity in helium-3","Stanford University; Stanford CA USA"
"51",59,"E. M. Purcell","male","1912-08-30","Taylorville IL USA","1997-03-07","Cambridge MA USA","Physics",1952,"1/2","","for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith","Harvard University; Cambridge MA USA"
"52",52,"Edward V. Appleton","male","1892-09-06","Bradford United Kingdom","1965-04-21","Edinburgh Scotland","Physics",1947,"1","","for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer","Department of Scientific and Industrial Research; London United Kingdom"
"53",72,"Emilio Segrè","male","1905-02-01","Tivoli Italy","1989-04-22","Lafayette CA USA","Physics",1959,"1/2","","for their discovery of the antiproton","University of California; Berkeley CA USA"
"54",46,"Enrico Fermi","male","1901-09-29","Rome Italy","1954-11-28","Chicago IL USA","Physics",1938,"1","","for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons","Rome University; Rome Italy"
"55",738,"Eric Cornell","male","1961-12-19","Palo Alto CA USA","","","Physics",2001,"1/3","","for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates","University of Colorado JILA; Boulder CO USA"
"56",47,"Ernest Lawrence","male","1901-08-08","Canton SD USA","1958-08-27","Palo Alto CA USA","Physics",1939,"1","","for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements","University of California; Berkeley CA USA"
"57",57,"Ernest T.S. Walton","male","1903-10-06","Dungarvan Ireland","1995-06-25","Belfast Northern Ireland","Physics",1951,"1/2","","for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles","Trinity College; Dublin Ireland"
"58",127,"Ernst Ruska","male","1906-12-25","Heidelberg Germany","1988-05-27","West Berlin Germany","Physics",1986,"1/2","","for his fundamental work in electron optics and for the design of the first electron microscope","Fritz-Haber-Institut der Max-Planck-Gesellschaft; Berlin Germany"
"59",39,"Erwin Schrödinger","male","1887-08-12","Vienna Austria","1961-01-04","Vienna Austria","Physics",1933,"1/2","","for the discovery of new productive forms of atomic theory","Berlin University; Berlin Germany"
"60",78,"Eugene Wigner","male","1902-11-17","Budapest Austria-Hungary (now Hungary)","1995-01-01","Princeton NJ USA","Physics",1963,"1/2","","for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles","Princeton University; Princeton NJ USA"
"61",929,"F. Duncan M. Haldane","male","1951-09-14","London United Kingdom","","","Physics",2016,"1/4","","for theoretical discoveries of topological phase transitions and topological phases of matter","Princeton University; Princeton NJ USA"
"62",58,"Felix Bloch","male","1905-10-23","Zurich Switzerland","1983-09-10","Zurich Switzerland","Physics",1952,"1/2","","for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith","Stanford University; Stanford CA USA"
"63",14,"Ferdinand Braun","male","1850-06-06","Fulda Hesse-Kassel (now Germany)","1918-04-20","Brooklyn NY USA","Physics",1909,"1/2","","in recognition of their contributions to the development of wireless telegraphy","Strasbourg University; Strasbourg Germany (now France)"
"64",1027,"Ferenc Krausz","male","1962-05-17","Mór Hungary","","","Physics",2023,"1/3","","for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter","Max Planck Institute of Quantum Optics; Garching Germany; Ludwig-Maximilians-Universität München; Munich Germany"
"65",887,"François Englert","male","1932-11-06","Etterbeek Belgium","","","Physics",2013,"1/2","","for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider","Université Libre de Bruxelles; Brussels Belgium"
"66",778,"Frank Wilczek","male","1951-05-15","New York NY USA","","","Physics",2004,"1/3","","for the discovery of asymptotic freedom in the theory of the strong interaction","Massachusetts Institute of Technology (MIT); Cambridge MA USA"
"67",148,"Frederick Reines","male","1918-03-16","Paterson NJ USA","1998-08-26","Orange CA USA","Physics",1995,"1/2","for pioneering experimental contributions to lepton physics","for the detection of the neutrino","University of California; Irvine CA USA"
"68",60,"Frits Zernike","male","1888-07-16","Amsterdam the Netherlands","1966-03-10","Groningen the Netherlands","Physics",1953,"1","","for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope","Groningen University; Groningen the Netherlands"
"69",12,"Gabriel Lippmann","male","1845-08-16","Hollerich Luxembourg","1921-07-13","","Physics",1908,"1","","for his method of reproducing colours photographically based on the phenomenon of interference","Sorbonne University; Paris France"
"70",840,"George E. Smith","male","1930-05-10","White Plains NY USA","","","Physics",2009,"1/4","","for the invention of an imaging semiconductor circuit - the CCD sensor","Bell Laboratories; Murray Hill NJ USA"
"71",805,"George F. Smoot","male","1945-02-20","Yukon FL USA","","","Physics",2006,"1/2","","for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation","University of California; Berkeley CA USA"
"72",45,"George Paget Thomson","male","1892-05-03","Cambridge United Kingdom","1975-09-10","Cambridge United Kingdom","Physics",1937,"1/2","","for their experimental discovery of the diffraction of electrons by crystals","London University; London United Kingdom"
"73",142,"Georges Charpak","male","1924-08-01","Dabrovica Poland","2010-09-29","Paris France","Physics",1992,"1","","for his invention and development of particle detectors in particular the multiwire proportional chamber","École Supérieure de Physique et Chimie; Paris France; CERN; Geneva Switzerland"
"74",961,"Gérard Mourou","male","1944-06-22","Albertville France","","","Physics",2018,"1/4","for groundbreaking inventions in the field of laser physics","for their method of generating high-intensity ultra-short optical pulses","École Polytechnique; Palaiseau France; University of Michigan; Ann Arbor MI USA"
"75",158,"Gerardus 't Hooft","male","1946-07-05","Den Helder the Netherlands","","","Physics",1999,"1/2","","for elucidating the quantum structure of electroweak interactions in physics","Utrecht University; Utrecht the Netherlands"
"76",128,"Gerd Binnig","male","1947-07-20","Frankfurt-on-the-Main West Germany (now Germany)","","","Physics",1986,"1/4","","for their design of the scanning tunneling microscope","IBM Zurich Research Laboratory; Rüschlikon Switzerland"
"77",1001,"Giorgio Parisi","male","1948-08-04","Rome Italy","","","Physics",2021,"1/2","for groundbreaking contributions to our understanding of complex physical systems","for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales","Sapienza University of Rome; Rome Italy"
"78",13,"Guglielmo Marconi","male","1874-04-25","Bologna Italy","1937-07-20","Rome Italy","Physics",1909,"1/2","","in recognition of their contributions to the development of wireless telegraphy","Marconi Wireless Telegraph Co. Ltd.; London United Kingdom"
"79",17,"Gustaf Dalén","male","1869-11-30","Stenstorp Sweden","1937-12-09","Stockholm Sweden","Physics",1912,"1","","for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys","Swedish Gas-Accumulator Co.; Lidingö Stockholm Sweden"
"80",31,"Gustav Hertz","male","1887-07-22","Hamburg Germany","1975-10-30","Berlin East Germany (now Germany)","Physics",1925,"1/2","","for their discovery of the laws governing the impact of an electron upon an atom","Halle University; Halle Germany"
"81",777,"H. David Politzer","male","1949-08-31","New York NY USA","","","Physics",2004,"1/3","","for the discovery of asymptotic freedom in the theory of the strong interaction","California Institute of Technology (Caltech); Pasadena CA USA"
"82",91,"Hannes Alfvén","male","1908-05-30","Norrköping Sweden","1995-04-02","Djursholm Sweden","Physics",1970,"1/2","","for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics","Royal Institute of Technology; Stockholm Sweden"
"83",88,"Hans Bethe","male","1906-07-02","Strasbourg Germany (now France)","2005-03-06","Ithaca NY USA","Physics",1967,"1","","for his contributions to the theory of nuclear reactions especially his discoveries concerning the energy production in stars","Cornell University; Ithaca NY USA"
"84",136,"Hans G. Dehmelt","male","1922-09-09","Görlitz Prussia (now Germany)","2017-03-07","Seattle WA USA","Physics",1989,"1/4","","for the development of the ion trap technique","University of Washington; Seattle WA USA"
"85",18,"Heike Kamerlingh Onnes","male","1853-09-21","Groningen the Netherlands","1926-02-21","Leiden the Netherlands","Physics",1913,"1","","for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium","Leiden University; Leiden the Netherlands"
"86",129,"Heinrich Rohrer","male","1933-06-06","Buchs Switzerland","2013-05-16","Wollerau Switzerland","Physics",1986,"1/4","","for their design of the scanning tunneling microscope","IBM Zurich Research Laboratory; Rüschlikon Switzerland"
"87",2,"Hendrik A. Lorentz","male","1853-07-18","Arnhem the Netherlands","1928-02-04","the Netherlands","Physics",1902,"1/2","","in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena","Leiden University; Leiden the Netherlands"
"88",4,"Henri Becquerel","male","1852-12-15","Paris France","1908-08-25","France","Physics",1903,"1/2","","in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity","École Polytechnique; Paris France"
"89",139,"Henry W. Kendall","male","1926-12-09","Boston MA USA","1999-02-15","Wakulla Springs State Park FL USA","Physics",1990,"1/3","","for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics","Massachusetts Institute of Technology (MIT); Cambridge MA USA"
"90",727,"Herbert Kroemer","male","1928-08-25","Weimar Germany","2024-03-08","","Physics",2000,"1/4","for basic work on information and communication technology","for developing semiconductor heterostructures used in high-speed- and opto-electronics","University of California; Santa Barbara CA USA"
"91",54,"Hideki Yukawa","male","1907-01-23","Tokyo Japan","1981-09-08","Kyoto Japan","Physics",1949,"1","","for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces","Columbia University; New York NY USA; Kyoto University; Kyoto Japan"
"92",907,"Hiroshi Amano","male","1960-09-11","Hamamatsu Japan","","","Physics",2014,"1/3","","for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources","Nagoya University; Nagoya Japan"
"93",156,"Horst L. Störmer","male","1949-04-06","Frankfurt-on-the-Main West Germany (now Germany)","","","Physics",1998,"1/3","","for their discovery of a new form of quantum fluid with fractionally charged excitations","Columbia University; New York NY USA"
"94",71,"Igor Y. Tamm","male","1895-07-08","Vladivostok Russia","1971-04-12","Moscow USSR (now Russia)","Physics",1958,"1/3","","for the discovery and the interpretation of the Cherenkov effect","Lomonosov Moscow State University; Moscow USSR (now Russia); P.N. Lebedev Physical Institute; Moscow USSR (now Russia)"
"95",721,"Il´ja M. Frank","male","1908-10-23","Leningrad (now St. Petersburg) Russia","1990-06-22","Moscow USSR (now Russia)","Physics",1958,"1/3","","for the discovery and the interpretation of the Cherenkov effect","Lomonosov Moscow State University; Moscow USSR (now Russia); P.N. Lebedev Physical Institute; Moscow USSR (now Russia)"
"96",906,"Isamu Akasaki","male","1929-01-30","Chiran Japan","2021-04-01","Nagoya Japan","Physics",2014,"1/3","","for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources","Meijo University; Nagoya Japan; Nagoya University; Nagoya Japan"
"97",49,"Isidor Isaac Rabi","male","1898-07-29","Rymanow Austria-Hungary (now Poland)","1988-01-11","New York NY USA","Physics",1944,"1","","for his resonance method for recording the magnetic properties of atomic nuclei","Columbia University; New York NY USA"
"98",98,"Ivar Giaever","male","1929-04-05","Bergen Norway","","","Physics",1973,"1/4","","for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors respectively","General Electric Company; Schenectady NY USA"
"99",130,"J. Georg Bednorz","male","1950-05-16","Neuenkirchen West Germany (now Germany)","","","Physics",1987,"1/2","","for their important break-through in the discovery of superconductivity in ceramic materials","IBM Zurich Research Laboratory; Rüschlikon Switzerland"
"100",80,"J. Hans D. Jensen","male","1907-06-25","Hamburg Germany","1973-02-11","Heidelberg West Germany (now Germany)","Physics",1963,"1/4","","for their discoveries concerning nuclear shell structure","University of Heidelberg; Heidelberg Germany"
"101",930,"J. Michael Kosterlitz","male","1943-06-22","Aberdeen United Kingdom","","","Physics",2016,"1/4","","for theoretical discoveries of topological phase transitions and topological phases of matter","Brown University; Providence RI USA"
"102",10,"J.J. Thomson","male","1856-12-18","Cheetham Hill United Kingdom","1940-08-30","Cambridge United Kingdom","Physics",1906,"1","","in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases","University of Cambridge; Cambridge United Kingdom"
"103",728,"Jack Kilby","male","1923-11-08","Jefferson City MO USA","2005-06-20","Dallas TX USA","Physics",2000,"1/2","for basic work on information and communication technology","for his part in the invention of the integrated circuit","Texas Instruments; Dallas TX USA"
"104",134,"Jack Steinberger","male","1921-05-25","Bad Kissingen Germany","2020-12-12","Geneva Switzerland","Physics",1988,"1/3","","for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino","CERN; Geneva Switzerland"
"105",41,"James Chadwick","male","1891-10-20","Manchester United Kingdom","1974-07-24","Cambridge United Kingdom","Physics",1935,"1","","for the discovery of the neutron","Liverpool University; Liverpool United Kingdom"
"106",116,"James Cronin","male","1931-09-29","Chicago IL USA","2016-08-25","St. Paul MN USA","Physics",1980,"1/2","","for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons","University of Chicago; Chicago IL USA"
"107",30,"James Franck","male","1882-08-26","Hamburg Germany","1964-05-21","Göttingen West Germany (now Germany)","Physics",1925,"1/2","","for their discovery of the laws governing the impact of an electron upon an atom","Goettingen University; Göttingen Germany"
"108",973,"James Peebles","male","1935-04-25","Winnipeg Canada","","","Physics",2019,"1/2","for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos","for theoretical discoveries in physical cosmology","Princeton University; Princeton NJ USA"
"109",104,"James Rainwater","male","1917-12-09","Council ID USA","1986-03-31","Yonkers NY USA","Physics",1975,"1/3","","for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection","Columbia University; New York NY USA"
"110",32,"Jean Baptiste Perrin","male","1870-09-30","Lille France","1942-04-17","New York NY USA","Physics",1926,"1","","for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium","Sorbonne University; Paris France"
"111",138,"Jerome I. Friedman","male","1930-03-28","Chicago IL USA","","","Physics",1990,"1/3","","for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics","Massachusetts Institute of Technology (MIT); Cambridge MA USA"
"112",15,"Johannes Diderik van der Waals","male","1837-11-23","Leiden the Netherlands","1923-03-08","Amsterdam the Netherlands","Physics",1910,"1","","for his work on the equation of state for gases and liquids","Amsterdam University; Amsterdam the Netherlands"
"113",24,"Johannes Stark","male","1874-04-15","Schickenhof Germany","1957-06-21","Traunstein West Germany (now Germany)","Physics",1919,"1","","for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields","Greifswald University; Greifswald Germany"
"114",66,"John Bardeen","male","1908-05-23","Madison WI USA","1991-01-30","Boston MA USA","Physics",1956,"1/3","","for their researches on semiconductors and their discovery of the transistor effect","University of Illinois; Urbana IL USA"
"115",66,"John Bardeen","male","1908-05-23","Madison WI USA","1991-01-30","Boston MA USA","Physics",1972,"1/3","","for their jointly developed theory of superconductivity usually called the BCS-theory","University of Illinois; Urbana IL USA"
"116",804,"John C. Mather","male","1946-08-07","Roanoke VA USA","","","Physics",2006,"1/2","","for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation","NASA Goddard Space Flight Center; Greenbelt MD USA"
"117",1013,"John Clauser","male","1942-12-01","Pasadena CA USA","","","Physics",2022,"1/3","","for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science","J.F. Clauser & Assoc.; Walnut Creek CA USA"
"118",56,"John Cockcroft","male","1897-05-27","Todmorden United Kingdom","1967-09-18","Cambridge United Kingdom","Physics",1951,"1/2","","for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles","Atomic Energy Research Establishment; Harwell Berkshire United Kingdom"
"119",109,"John H. Van Vleck","male","1899-03-13","Middletown CT USA","1980-10-27","Cambridge MA USA","Physics",1977,"1/3","","for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems","Harvard University; Cambridge MA USA"
"120",792,"John L. Hall","male","1934-08-21","Denver CO USA","","","Physics",2005,"1/4","","for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique","University of Colorado JILA; Boulder CO USA; National Institute of Standards and Technology; Boulder CO USA"
"121",144,"Joseph H. Taylor Jr.","male","1941-03-29","Philadelphia PA USA","","","Physics",1993,"1/2","","for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation","Princeton University; Princeton NJ USA"
