"id","name","gender","birthdate","birthplace","deathdate","deathplace","category","year","share","overallmotivation","motivation","affiliations"
475,"Auguste Beernaert","male","1829-07-26","Ostend Belgium","1912-10-06","Lucerne Switzerland","Peace",1909,"1/2",NA,"for their prominent position in the international movement for peace and arbitration",""
553,"Aung San Suu Kyi","female","1945-06-19","Rangoon Burma (now Yangon Myanmar)","","","Peace",1991,"1",NA,"for her non-violent struggle for democracy and human rights",""
845,"Barack H. Obama","male","1961-08-04","Honolulu HI USA","","","Peace",2009,"1",NA,"for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples",""
468,"Bertha von Suttner","female","1843-06-09","Prague Austrian Empire (now Czech Republic)","1914-06-21","Vienna Austria","Peace",1905,"1",NA,"for her audacity to oppose the horrors of war",""
535,"Betty Williams","female","1943-05-22","Belfast Northern Ireland","2020-03-17","Belfast Northern Ireland","Peace",1976,"1/2",NA,"for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland",""
500,"Carl von Ossietzky","male","1889-10-03","Hamburg Germany","1938-05-04","Berlin Germany","Peace",1935,"1",NA,"for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace",""
562,"Carlos Filipe Ximenes Belo","male","1948-02-03","Wailacama East Timor","","","Peace",1996,"1/2",NA,"for their work towards a just and peaceful solution to the conflict in East Timor",""
501,"Carlos Saavedra Lamas","male","1878-11-01","Buenos Aires Argentina","1959-05-05","Buenos Aires Argentina","Peace",1936,"1",NA,"for his role as father of the Argentine Antiwar Pact of 1933 which he also used as a means to mediate peace between Paraguay and Bolivia in 1935",""
1020,"Center for Civil Liberties","org","2007-00-00","Kyiv Ukraine","","","Peace",2022,"1/3",NA,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",""
489,"Charles G. Dawes","male","1865-08-27","Marietta OH USA","1951-04-23","Evanston IL USA","Peace",1925,"1/2",NA,"for his crucial role in bringing about the Dawes Plan",""
486,"Christian Lange","male","1869-09-17","Stavanger Norway","1938-12-11","Oslo Norway","Peace",1921,"1/2",NA,"for their lifelong contributions to the cause of peace and organized internationalism",""
505,"Cordell Hull","male","1871-10-02","Olympus TN USA","1955-07-23","Bethesda MD USA","Peace",1945,"1",NA,"for his indefatigable work for international understanding and his pivotal role in establishing the United Nations",""
520,"Dag Hammarskjöld","male","1905-07-29","Jönköping Sweden","1961-09-18","Ndola Northern Rhodesia (now Zambia)","Peace",1961,"1",NA,"for developing the UN into an effective and constructive international organization capable of giving life to the principles and aims expressed in the UN Charter",""
567,"David Trimble","male","1944-10-15","Belfast Northern Ireland","2022-07-25","Belfast Northern Ireland","Peace",1998,"1/2",NA,"for their efforts to find a peaceful solution to the conflict in Northern Ireland",""
966,"Denis Mukwege","male","1955-03-01","Bukavu Belgian Congo (now Democratic Republic of the Congo)","","","Peace",2018,"1/2",NA,"for their efforts to end the use of sexual violence as a weapon of war and armed conflict",""
546,"Desmond Tutu","male","1931-10-07","Klerksdorp South Africa","2021-12-26","Cape Town South Africa","Peace",1984,"1",NA,"for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa",""
1006,"Dmitry Muratov","male","1961-00-00","Kubyshev USSR (now Samara Russia)","","","Peace",2021,"1/2",NA,"for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace",""
568,"Doctors Without Borders","org","1971-00-00","Paris France","","","Peace",1999,"1",NA,"in recognition of the organisation's pioneering humanitarian work on several continents",""
533,"Eisaku Satō","male","1901-03-27","Tabuse Japan","1975-06-03","Tokyo Japan","Peace",1974,"1/2",NA,"for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty",""
464,"Élie Ducommun","male","1833-02-19","Geneva Switzerland","1906-12-07","Bern Switzerland","Peace",1902,"1/2",NA,"for his untiring and skilful directorship of the Bern Peace Bureau",""
548,"Elie Wiesel","male","1928-09-30","Sighet Romania","2016-07-02","New York NY USA","Peace",1986,"1",NA,"for being a messenger to mankind: his message is one of peace atonement and dignity",""
480,"Elihu Root","male","1845-02-15","Clinton NY USA","1937-02-07","New York NY USA","Peace",1912,"1",NA,"for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries",""
869,"Ellen Johnson Sirleaf","female","1938-10-29","Monrovia Liberia","","","Peace",2011,"1/3",NA,"for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work",""
506,"Emily Greene Balch","female","1867-01-08","Jamaica Plain MA (now Boston MA) USA","1961-01-09","Cambridge MA USA","Peace",1946,"1/2",NA,"for her lifelong work for the cause of peace",""
471,"Ernesto Teodoro Moneta","male","1833-09-20","Milan Austrian Empire (now Italy)","1918-02-10","Milan Italy","Peace",1907,"1/2",NA,"for his work in the press and in peace meetings both public and private for an understanding between France and Italy",""
881,"European Union","org","1952-00-00","","","","Peace",2012,"1",NA,"for over six decades contributed to the advancement of peace and reconciliation democracy and human rights in Europe",""
556,"F.W. de Klerk","male","1936-03-18","Johannesburg South Africa","2021-11-11","Cape Town South Africa","Peace",1993,"1/2",NA,"for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa",""
492,"Ferdinand Buisson","male","1841-12-20","Paris France","1932-02-16","Thieuloy-Saint-Antoine France","Peace",1927,"1/2",NA,"for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation",""
494,"Frank B. Kellogg","male","1856-12-22","Potsdam NY USA","1937-12-21","St. Paul MN USA","Peace",1929,"1",NA,"for his crucial role in bringing about the Briand-Kellogg Pact",""
463,"Frédéric Passy","male","1822-05-20","Paris France","1912-06-12","Paris France","Peace",1901,"1/2",NA,"for his lifelong work for international peace conferences diplomacy and arbitration",""
474,"Fredrik Bajer","male","1837-04-21","Næstved Denmark","1922-01-22","Copenhagen Denmark","Peace",1908,"1/2",NA,"for their long time work for the cause of peace as politicians peace society leaders orators and authors",""
487,"Fridtjof Nansen","male","1861-10-10","Kristiania (now Oslo) Norway","1930-05-13","Oslo Norway","Peace",1922,"1",NA,"for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees",""
508,"Friends Service Council","org","1647-00-00","London United Kingdom","","","Peace",1947,"1/2",NA,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations",""
514,"George C. Marshall","male","1880-12-31","Uniontown PA USA","1959-10-16","Washington D.C. USA","Peace",1953,"1",NA,"for proposing and supervising the plan for the economic recovery of Europe",""
517,"Georges Pire","male","1910-02-10","Dinant Belgium","1969-01-30","Leuven Belgium","Peace",1958,"1",NA,"for his efforts to help refugees to leave their camps and return to a life of freedom and dignity",""
810,"Grameen Bank","org","1976-00-00","Dhaka Bangladesh","","","Peace",2006,"1/2",NA,"for their efforts to create economic and social development from below",""
491,"Gustav Stresemann","male","1878-05-10","Berlin Germany","1929-10-03","Berlin Germany","Peace",1926,"1/2",NA,"for their crucial role in bringing about the Locarno Treaty",""
481,"Henri La Fontaine","male","1854-04-22","Brussels Belgium","1943-05-14","Brussels Belgium","Peace",1913,"1",NA,"for his unparalleled contribution to the organization of peaceful internationalism",""
462,"Henry Dunant","male","1828-05-08","Geneva Switzerland","1910-10-30","Heiden Switzerland","Peace",1901,"1/2",NA,"for his humanitarian efforts to help wounded soldiers and create international understanding",""
530,"Henry Kissinger","male","1923-05-27","Fürth Germany","2023-11-29","Kent CT USA","Peace",1973,"1/2",NA,"for jointly having negotiated a cease fire in Vietnam in 1973",""
485,"Hjalmar Branting","male","1860-11-23","Stockholm Sweden","1925-02-24","Stockholm Sweden","Peace",1921,"1/2",NA,"for their lifelong contributions to the cause of peace and organized internationalism",""
467,"Institute of International Law","org","1873-00-00","Ghent Belgium","","","Peace",1904,"1",NA,"for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane",""
818,"Intergovernmental Panel on Climate Change","org","1988-00-00","New York NY USA","","","Peace",2007,"1/2",NA,"for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change",""
797,"International Atomic Energy Agency","org","1957-00-00","Vienna Austria","","","Peace",2005,"1/2",NA,"for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way",""
948,"International Campaign to Abolish Nuclear Weapons","org","2007-00-00","Australia","","","Peace",2017,"1",NA,"for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons",""
564,"International Campaign to Ban Landmines","org","1992-00-00","USA","","","Peace",1997,"1/2",NA,"for their work for the banning and clearing of anti-personnel mines",""
482,"International Committee of the Red Cross","org","1863-00-00","Geneva Switzerland","","","Peace",1917,"1",NA,"for the efforts to take care of wounded soldiers and prisoners of war and their families",""
482,"International Committee of the Red Cross","org","1863-00-00","Geneva Switzerland","","","Peace",1944,"1",NA,"for the great work it has performed during the war on behalf of humanity",""
482,"International Committee of the Red Cross","org","1863-00-00","Geneva Switzerland","","","Peace",1963,"1/2",NA,"for promoting the principles of the Geneva Convention and cooperation with the UN",""
527,"International Labour Organization","org","1919-00-00","Geneva Switzerland","","","Peace",1969,"1",NA,"for creating international legislation insuring certain norms for working conditions in every country",""
547,"International Physicians for the Prevention of Nuclear War","org","1980-00-00","Boston MA USA","","","Peace",1985,"1",NA,"for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war",""
496,"Jane Addams","female","1860-09-06","Cedarville IL USA","1935-05-21","Chicago IL USA","Peace",1931,"1/2",NA,"for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind",""
762,"Jimmy Carter","male","1924-10-01","Plains GA USA","","","Peace",2002,"1",NA,"for his decades of untiring effort to find peaceful solutions to international conflicts to advance democracy and human rights and to promote economic and social development",""
565,"Jody Williams","female","1950-10-09","Putney VT USA","","","Peace",1997,"1/2",NA,"for their work for the banning and clearing of anti-personnel mines",""
566,"John Hume","male","1937-01-18","Londonderry Northern Ireland","2020-08-03","Londonderry Northern Ireland","Peace",1998,"1/2",NA,"for their efforts to find a peaceful solution to the conflict in Northern Ireland",""
507,"John R. Mott","male","1865-05-25","Livingston Manor NY USA","1955-01-31","USA","Peace",1946,"1/2",NA,"for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries",""
563,"José Ramos-Horta","male","1949-12-26","Dili East Timor","","","Peace",1996,"1/2",NA,"for their work towards a just and peaceful solution to the conflict in East Timor",""
560,"Joseph Rotblat","male","1908-11-04","Warsaw Russian Empire (now Poland)","2005-08-31","London United Kingdom","Peace",1995,"1/2",NA,"for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms",""
934,"Juan Manuel Santos","male","1951-08-10","Bogotá Colombia","","","Peace",2016,"1",NA,"for his resolute efforts to bring the country's more than 50-year-long civil war to an end",""
913,"Kailash Satyarthi","male","1954-01-11","Vidisha India","","","Peace",2014,"1/2",NA,"for their struggle against the suppression of children and young people and for the right of all children to education",""
725,"Kim Dae-jung","male","1925-12-03","Mokpo Korea (now South Korea)","2009-08-18","","Peace",2000,"1",NA,"for his work for democracy and human rights in South Korea and in East Asia in general and for peace and reconciliation with North Korea in particular",""
473,"Klas Pontus Arnoldson","male","1844-10-27","Gothenburg Sweden","1916-02-20","Stockholm Sweden","Peace",1908,"1/2",NA,"for their long time work for the cause of peace as politicians peace society leaders orators and authors",""
749,"Kofi Annan","male","1938-04-08","Kumasi Gold Coast (now Ghana)","2018-08-18","Bern Switzerland","Peace",2001,"1/2",NA,"for their work for a better organized and more peaceful world",""
531,"Le Duc Tho","male","1911-10-14","Nam Ha province Vietnam","1990-10-13","Hanoi Vietnam","Peace",1973,"1/2",NA,"for jointly having negotiated a cease fire in Vietnam in 1973",""
523,"League of Red Cross Societies","org","1919-00-00","Paris France","","","Peace",1963,"1/2",NA,"for promoting the principles of the Geneva Convention and cooperation with the UN",""
545,"Lech Wałęsa","male","1943-09-29","Popowo Poland","","","Peace",1983,"1",NA,"for non-violent struggle for free trade unions and human rights in Poland",""
484,"Léon Bourgeois","male","1851-05-21","Paris France","1925-09-29","Épernay France","Peace",1920,"1",NA,"for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations",""
512,"Léon Jouhaux","male","1879-07-01","Paris France","1954-04-28","Paris France","Peace",1951,"1",NA,"for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations",""
516,"Lester Bowles Pearson","male","1897-04-23","Toronto Canada","1972-12-27","Ottawa Canada","Peace",1957,"1",NA,"for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis",""
870,"Leymah Gbowee","female","1972-02-01","Monrovia Liberia","","","Peace",2011,"1/3",NA,"for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work",""
217,"Linus Pauling","male","1901-02-28","Portland OR USA","1994-08-19","Big Sur CA USA","Chemistry",1954,"1",NA,"for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances","California Institute of Technology (Caltech); Pasadena CA USA"
217,"Linus Pauling","male","1901-02-28","Portland OR USA","1994-08-19","Big Sur CA USA","Peace",1962,"1",NA,"for his fight against the nuclear arms race between East and West","California Institute of Technology (Caltech); Pasadena CA USA"
855,"Liu Xiaobo","male","1955-12-28","Changchun China","2017-07-13","Shenyang China","Peace",2010,"1",NA,"for his long and non-violent struggle for fundamental human rights in China",""
510,"Lord Boyd Orr","male","1880-09-23","Kilmaurs Scotland","1971-06-25","Edzell Scotland","Peace",1949,"1",NA,"for his lifelong effort to conquer hunger and want thereby helping to remove a major cause of military conflict and war",""
472,"Louis Renault","male","1843-05-21","Autun France","1918-02-08","Barbizon France","Peace",1907,"1/2",NA,"for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences","Sorbonne University; Paris France"
493,"Ludwig Quidde","male","1858-03-23","Bremen Germany","1941-03-04","Geneva Switzerland","Peace",1927,"1/2",NA,"for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation",""
536,"Mairead Corrigan","female","1944-01-27","Belfast Northern Ireland","","","Peace",1976,"1/2",NA,"for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland",""
914,"Malala Yousafzai","female","1997-07-12","Mingora Pakistan","","","Peace",2014,"1/2",NA,"for their struggle against the suppression of children and young people and for the right of all children to education",""
1005,"Maria Ressa","female","1963-10-02","Manila Philippines","","","Peace",2021,"1/2",NA,"for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace",""
524,"Martin Luther King Jr.","male","1929-01-15","Atlanta GA USA","1968-04-04","Memphis TN USA","Peace",1964,"1",NA,"for his non-violent struggle for civil rights for the Afro-American population",""
833,"Martti Ahtisaari","male","1937-06-23","Viipuri (now Vyborg) Finland","2023-10-16","Helsinki Finland","Peace",2008,"1",NA,"for his important efforts on several continents and over more than three decades to resolve international conflicts",""
1019,"Memorial","org","1987-00-00","Moscow Russia","","","Peace",2022,"1/3",NA,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",""
539,"Menachem Begin","male","1913-08-16","Brest Litovsk Russian Empire (now Belarus)","1992-03-09","Tel Aviv Israel","Peace",1978,"1/2",NA,"for jointly having negotiated peace between Egypt and Israel in 1978",""
552,"Mikhail Gorbachev","male","1931-03-02","Privolnoye USSR (now Russia)","2022-08-30","Moscow Russia","Peace",1990,"1",NA,"for the leading role he played in the radical changes in East-West relations",""
798,"Mohamed ElBaradei","male","1942-06-17","Cairo Egypt","","","Peace",2005,"1/2",NA,"for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way",""
540,"Mother Teresa","female","1910-08-26","Uskup Ottoman Empire (now Skopje North Macedonia)","1997-09-05","Calcutta India","Peace",1979,"1",NA,"for her work for bringing help to suffering humanity",""
809,"Muhammad Yunus","male","1940-06-28","Chittagong British India (now Bangladesh)","","","Peace",2006,"1/2",NA,"for their efforts to create economic and social development from below",""
967,"Nadia Murad","female","1993-00-00","Kojo Iraq","","","Peace",2018,"1/2",NA,"for their efforts to end the use of sexual violence as a weapon of war and armed conflict",""
503,"Nansen International Office for Refugees","org","1921-00-00","Geneva Switzerland","","","Peace",1938,"1",NA,"for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe",""
1033,"Narges Mohammadi","female","1972-04-21","Zanjan Iran","","","Peace",2023,"1",NA,"for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all",""
495,"Nathan Söderblom","male","1866-01-15","Trönö Sweden","1931-07-12","Uppsala Sweden","Peace",1930,"1",NA,"for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality'",""
925,"National Dialogue Quartet","org","","","","","Peace",2015,"1",NA,"for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011",""
555,"Nelson Mandela","male","1918-07-18","Mvezo South Africa","2013-12-05","Johannesburg South Africa","Peace",1993,"1/2",NA,"for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa",""
497,"Nicholas Murray Butler","male","1862-04-02","Elizabeth NJ USA","1947-12-07","New York NY USA","Peace",1931,"1/2",NA,"for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind","Columbia University; New York NY USA"
528,"Norman Borlaug","male","1914-03-25","Cresco IA USA","2009-09-12","Dallas TX USA","Peace",1970,"1",NA,"for having given a well-founded hope - the green revolution",""
515,"Office of the United Nations High Commissioner for Refugees","org","1950-12-14","Geneva Switzerland","","","Peace",1954,"1",NA,"for its efforts to heal the wounds of war by providing help and protection to refugees all over the world",""
515,"Office of the United Nations High Commissioner for Refugees","org","1950-12-14","Geneva Switzerland","","","Peace",1981,"1",NA,"for promoting the fundamental rights of refugees",""
893,"Organisation for the Prohibition of Chemical Weapons","org","1997-00-00","","","","Peace",2013,"1",NA,"for its extensive efforts to eliminate chemical weapons",""
549,"Oscar Arias Sánchez","male","1940-09-13","Heredia Costa Rica","","","Peace",1987,"1",NA,"for his work for lasting peace in Central America",""
476,"Paul Henri d'Estournelles de Constant","male","1852-11-22","La Flèche France","1924-05-15","Paris France","Peace",1909,"1/2",NA,"for their prominent position in the international movement for peace and arbitration",""
477,"Permanent International Peace Bureau","org","1891-00-00","Bern Switzerland","","","Peace",1910,"1",NA,"for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement",""
518,"Philip Noel-Baker","male","1889-11-01","London United Kingdom","1982-10-08","London United Kingdom","Peace",1959,"1",NA,"for his longstanding contribution to the cause of disarmament and peace",""
561,"Pugwash Conferences on Science and World Affairs","org","1957-00-00","Pugwash Canada","","","Peace",1995,"1/2",NA,"for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms",""
511,"Ralph Bunche","male","1904-08-07","Detroit MI USA","1971-12-09","New York NY USA","Peace",1950,"1",NA,"for his work as mediator in Palestine in 1948-1949","Harvard University; Cambridge MA USA"
466,"Randal Cremer","male","1828-03-18","Fareham United Kingdom","1908-07-22","London United Kingdom","Peace",1903,"1",NA,"for his longstanding and devoted effort in favour of the ideas of peace and arbitration",""
526,"René Cassin","male","1887-10-05","Bayonne France","1976-02-20","Paris France","Peace",1968,"1",NA,"for his struggle to ensure the rights of man as stipulated in the UN Declaration",""
554,"Rigoberta Menchú Tum","female","1959-01-09","Aldea Chimel Guatemala","","","Peace",1992,"1",NA,"for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples",""
502,"Robert Cecil Viscount Cecil of Chelwood","male","1864-09-14","London United Kingdom","1958-11-24","Tunbridge Wells United Kingdom","Peace",1937,"1",NA,"for his tireless effort in support of the League of Nations disarmament and peace",""
532,"Seán MacBride","male","1904-01-26","Paris France","1988-01-15","Dublin Ireland","Peace",1974,"1/2",NA,"for his efforts to secure and develop human rights throughout the world",""
558,"Shimon Peres","male","1923-08-16","Vishneva Poland (now Belarus)","2016-09-28","Tel Aviv Israel","Peace",1994,"1/3",NA,"for their efforts to create peace in the Middle East",""
773,"Shirin Ebadi","female","1947-06-21","Hamadan Iran","","","Peace",2003,"1",NA,"for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children",""
488,"Sir Austen Chamberlain","male","1863-10-16","Birmingham United Kingdom","1937-03-16","London United Kingdom","Peace",1925,"1/2",NA,"for his crucial role in bringing about the Locarno Treaty",""
498,"Sir Norman Angell","male","1872-12-26","Holbeach United Kingdom","1967-10-07","Croydon United Kingdom","Peace",1933,"1",NA,"for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace",""
871,"Tawakkol Karman","female","1979-02-07","Ta'izz Yemen","","","Peace",2011,"1/3",NA,"for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work",""
551,"The 14th Dalai Lama","male","1935-07-06","Taktser Tibet (now China)","","","Peace",1989,"1",NA,"for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people",""
470,"Theodore Roosevelt","male","1858-10-27","New York NY USA","1919-01-06","Oyster Bay NY USA","Peace",1906,"1",NA,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia",""
478,"Tobias Asser","male","1838-04-28","Amsterdam the Netherlands","1913-07-29","the Hague the Netherlands","Peace",1911,"1/2",NA,"for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations",""
748,"United Nations","org","1945-00-00","New York NY USA","","","Peace",2001,"1/2",NA,"for their work for a better organized and more peaceful world",""
525,"United Nations Children's Fund","org","1946-00-00","New York NY USA","","","Peace",1965,"1",NA,"for its effort to enhance solidarity between nations and reduce the difference between rich and poor states",""
550,"United Nations Peacekeeping Forces","org","1948-00-00","New York NY USA","","","Peace",1988,"1",NA,"for preventing armed clashes and creating conditions for negotiations",""
783,"Wangari Maathai","female","1940-04-01","Nyeri Kenya","2011-09-25","Nairobi Kenya","Peace",2004,"1",NA,"for her contribution to sustainable development democracy and peace",""
529,"Willy Brandt","male","1913-12-18","Lübeck Germany","1992-10-08","Unkel Germany","Peace",1971,"1",NA,"for paving the way for a meaningful dialogue between East and West",""
483,"Woodrow Wilson","male","1856-12-28","Staunton VA USA","1924-02-03","Washington D.C. USA","Peace",1919,"1",NA,"for his role as founder of the League of Nations",""
994,"World Food Programme","org","1961-00-00","","","","Peace",2020,"1",NA,"for its efforts to combat hunger for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict",""
557,"Yasser Arafat","male","1929-08-24","Cairo Egypt","2004-11-11","Paris France","Peace",1994,"1/3",NA,"for their efforts to create peace in the Middle East",""
559,"Yitzhak Rabin","male","1922-03-01","Jerusalem British Mandate of Palestine (now Israel)","1995-11-04","Tel Aviv Israel","Peace",1994,"1/3",NA,"for their efforts to create peace in the Middle East",""
